Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,29893,,,,,,,,,,,,
2019,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,906,,,,,,,,,,,,
2019,FYTD,JUL,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,174,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,666,,,,,,,,,,,,
2019,FYTD,JAN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,901,,,,,,,,,,,,
2020,FYTD,DEC,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,283,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,1151,,,,,,,,,,,,
2020,FYTD,MAY,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,8,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,492,,,,,,,,,,,,
2019,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,794,,,,,,,,,,,,
2020,FYTD,APR,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,3,,,,,,,,,,,,
2020,FYTD,DEC,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2607,,,,,,,,,,,,
2021,FYTD,SEP,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,55,,,,,,,,,,,,
2019,FYTD,AUG,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,6,,,,,,,,,,,,
2019,FYTD,JUL,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,5864,,,,,,,,,,,,
2020,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,180,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1770,,,,,,,,,,,,
2019,FYTD,JUL,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,36,,,,,,,,,,,,
2019,FYTD,MAR,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,55,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,326,,,,,,,,,,,,
2019,FYTD,SEP,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,330,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,3619,,,,,,,,,,,,
2019,FYTD,NOV,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,195,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,39,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,5182,,,,,,,,,,,,
2019,FYTD,AUG,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,81,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,44159,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,85,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,108,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,8170,,,,,,,,,,,,
2019,FYTD,APR,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,34,,,,,,,,,,,,
2021,FYTD,OCT,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,5,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,481,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,928,,,,,,,,,,,,
2019,FYTD,APR,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,189,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,7257,,,,,,,,,,,,
2020,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1015,,,,,,,,,,,,
2021,FYTD,MAY,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,9,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,224,,,,,,,,,,,,
2021,FYTD,SEP,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,28,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,689,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,11,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,790,,,,,,,,,,,,
2019,FYTD,APR,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,24336,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,1701,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,20,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,21,,,,,,,,,,,,
2020,FYTD,NOV,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,44,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1467,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,33450,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,436,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,El Salvador,Title 42,Expulsions,1,,,,,,,,,,,,
2020,FYTD,DEC,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1,,,,,,,,,,,,
2019,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,64,,,,,,,,,,,,
2020,FYTD,NOV,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,2371,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,445,,,,,,,,,,,,
2020,FYTD,JAN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2404,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,159,,,,,,,,,,,,
2019,FYTD,NOV,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,9177,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,74,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,386,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,1293,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,39,,,,,,,,,,,,
2019,FYTD,OCT,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,15,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,50,,,,,,,,,,,,
2020,FYTD,APR,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,0,,,,,,,,,,,,
2019,FYTD,APR,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2997,,,,,,,,,,,,
2019,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,109,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,18,,,,,,,,,,,,
2021,FYTD,MAY,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,345,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,6,,,,,,,,,,,,
2019,FYTD,MAR,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,278,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,70,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,2880,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2324,,,,,,,,,,,,
2020,FYTD,MAY,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,54,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,4254,,,,,,,,,,,,
2019,FYTD,AUG,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,5329,,,,,,,,,,,,
2019,FYTD,OCT,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,89,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,7,,,,,,,,,,,,
2019,FYTD,FEB,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,157,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2555,,,,,,,,,,,,
2021,FYTD,SEP,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,5,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,10603,,,,,,,,,,,,
2020,FYTD,APR,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,343,,,,,,,,,,,,
2019,FYTD,SEP,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2891,,,,,,,,,,,,
2019,FYTD,SEP,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,2082,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1463,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,234,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,400,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,12,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,0,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,12,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,2,,,,,,,,,,,,
2019,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,427,,,,,,,,,,,,
2019,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,1860,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,879,,,,,,,,,,,,
2019,FYTD,NOV,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2378,,,,,,,,,,,,
2021,FYTD,MAY,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,37,,,,,,,,,,,,
2019,FYTD,JAN,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,12221,,,,,,,,,,,,
2019,FYTD,MAY,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,5,,,,,,,,,,,,
2019,FYTD,MAR,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,4,,,,,,,,,,,,
2019,FYTD,JUL,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,19252,,,,,,,,,,,,
2019,FYTD,FEB,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0,,,,,,,,,,,,
2021,FYTD,SEP,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,56,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,2,,,,,,,,,,,,
2019,FYTD,FEB,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,15775,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,41,,,,,,,,,,,,
2019,FYTD,AUG,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,226,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,138,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1138,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,568,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,500,,,,,,,,,,,,
2020,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,436,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,17996,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,450,,,,,,,,,,,,
2020,FYTD,NOV,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,28,,,,,,,,,,,,
2020,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,19,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,39,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,7,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1287,,,,,,,,,,,,
2019,FYTD,MAY,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,2893,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,11,,,,,,,,,,,,
2020,FYTD,FEB,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,2041,,,,,,,,,,,,
2019,FYTD,JAN,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,568,,,,,,,,,,,,
2019,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,829,,,,,,,,,,,,
2019,FYTD,JUL,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,1095,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,1,,,,,,,,,,,,
2019,FYTD,APR,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,88,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,52,,,,,,,,,,,,
2019,FYTD,MAY,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,10912,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,643,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,78,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,244,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,6,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,13,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2138,,,,,,,,,,,,
2021,FYTD,MAY,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,20,,,,,,,,,,,,
2019,FYTD,APR,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,1,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,8,,,,,,,,,,,,
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,Honduras,Title 42,Expulsions,1,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,416,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,745,,,,,,,,,,,,
2019,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,969,,,,,,,,,,,,
2020,FYTD,JAN,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,1544,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,2737,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,28,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,43,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,16,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,118,,,,,,,,,,,,
2019,FYTD,DEC,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,83,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,4411,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,89,,,,,,,,,,,,
2019,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,1277,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,1,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,25,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2128,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,7,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,155,,,,,,,,,,,,
2019,FYTD,NOV,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,16,,,,,,,,,,,,
2019,FYTD,SEP,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,98,,,,,,,,,,,,
2019,FYTD,APR,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,1533,,,,,,,,,,,,
2019,FYTD,FEB,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,27,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,14,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,573,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,48,,,,,,,,,,,,
2019,FYTD,MAR,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,2443,,,,,,,,,,,,
2019,FYTD,DEC,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,24,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,791,,,,,,,,,,,,
2020,FYTD,OCT,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,2813,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,6368,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,72,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,73,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,1110,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,2,,,,,,,,,,,,
2020,FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,14134,,,,,,,,,,,,
2019,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,3219,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,37,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,667,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,1927,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,118,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,685,,,,,,,,,,,,
2019,FYTD,FEB,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,84,,,,,,,,,,,,
2019,FYTD,SEP,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,84,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,619,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,9946,,,,,,,,,,,,
2019,FYTD,NOV,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,66,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,1,,,,,,,,,,,,
2020,FYTD,DEC,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2799,,,,,,,,,,,,
2019,FYTD,OCT,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1340,,,,,,,,,,,,
2019,FYTD,MAY,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,15964,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2854,,,,,,,,,,,,
2019,FYTD,MAR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,2219,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,7798,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,7928,,,,,,,,,,,,
2019,FYTD,AUG,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,2,,,,,,,,,,,,
2019,FYTD,FEB,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2826,,,,,,,,,,,,
2019,FYTD,SEP,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,13319,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,18,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,8,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,4,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,0,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,19028,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,8,,,,,,,,,,,,
2019,FYTD,APR,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,11,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,6,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,151,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,320,,,,,,,,,,,,
2020,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,543,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,2066,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,1575,,,,,,,,,,,,
2019,FYTD,APR,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,55,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,6,,,,,,,,,,,,
2019,FYTD,SEP,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,888,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,47,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,72,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,41,,,,,,,,,,,,
2020,FYTD,NOV,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,2,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1204,,,,,,,,,,,,
2020,FYTD,FEB,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2995,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,10,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,28,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Expulsions,1,,,,,,,,,,,,
2021,FYTD,MAY,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,1135,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,66,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,825,,,,,,,,,,,,
